year,month,transaction_count,average_price
2020,1,29,530506.1379
2020,2,21,872795.0000
2020,3,108,6133904.2315
2020,4,24,539814.6250
2020,5,27,844360.1852
2020,6,35,279442.3714
2020,7,38,483462.5000
2020,8,46,501299.6522
2020,9,52,2278538.3269
2020,10,73,378744.5890
2020,11,125,352319.3200
2020,12,158,469315.1076
2021,1,83,619229.9759
2021,2,112,361505.9286
2021,3,133,407975.8947
2021,4,106,360229.1321
2021,5,114,316321.5614
2021,6,220,431847.8636
2021,7,84,493988.0238
2021,8,120,336072.5250
2021,9,174,378326.7356
2021,10,122,1381165.8197
2021,11,136,365823.5809
2021,12,188,471443.7394
2022,1,132,343727.0606
2022,2,123,383929.7724
2022,3,230,973553.2739
2022,4,178,434436.3708
2022,5,219,825936.8813
2022,6,248,420246.3911
2022,7,224,452714.4688
2022,8,269,501112.2900
2022,9,324,370848.0494
2022,10,288,389517.0972
2022,11,357,388783.5742
2022,12,518,872854.5483
2023,1,480,453509.9563
2023,2,553,526762.1736
2023,3,1249,669306.8831
2023,4,1162,435758.4320
2023,5,1797,408377.4953
2023,6,2450,464717.5898
2023,7,1376,425596.6214
2023,8,1418,610823.0205
2023,9,1860,489527.6231
2023,10,1690,586412.0680
2023,11,2218,437795.1195
2023,12,3365,411960.0211
2024,1,2805,526434.8463
2024,2,2894,417960.8148
2024,3,1173,573630.4945
2024,4,1758,457192.9903
2024,5,8079,391692.0969
2024,6,10180,380601.7383
2024,7,9191,410401.6918
2024,8,5172,349757.8734
2024,9,24826,347796.7618
2024,10,21451,349825.3740
