year,transactions,avg_price
1995,43,75150.0000
1996,42,89765.0238
1997,62,90853.7903
1998,51,88568.9804
1999,55,130085.2727
2000,75,141334.9733
2001,56,125721.2500
2002,82,188872.4390
2003,70,241879.2000
2004,63,235783.0952
2005,54,238337.9444
2006,65,292800.5538
2007,60,334188.9667
2008,47,303531.7021
2009,33,235816.6667
2010,43,243637.2093
2011,36,233017.2500
2012,22,332315.6818
2013,33,358943.4848
2014,61,615170.5738
2015,61,417053.0164
2016,110,1737996.8273
2017,137,898379.7299
2018,212,1012851.5236
2019,298,960397.4899
2020,736,1423185.0516
2021,1592,483627.6577
2022,3110,558977.7730
2023,19618,480900.8627
2024,87529,376118.8236
